dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D10	Decidua	ILC3	CCL3L1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCL4L2	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	PPBP	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCR1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCR2	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCR5	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CCR9	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCR3	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCR4	7	4	0.5714285714285714	1362.8346961680295	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CXCR6	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CX3CR1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	S1PR1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	S1PR5	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	SELL	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	ACKR2	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	XCR1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	KLRD1	7	1	0.14285714285714285	160.33349366682702	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	NKG7	7	4	0.5714285714285714	400.8337341670676	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	GNLY	7	7	1.0	6253.006253006254	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	PRF1	7	1	0.14285714285714285	160.33349366682702	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	GZMB	7	3	0.42857142857142855	240.50024050024052	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	NCR1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	IGKC	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	LYZ	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	C1QA	7	2	0.2857142857142857	160.33349366682702	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	DCN	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	COL1A1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	IGFBP1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	HLA-G	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CSH1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	HBB	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CD3E	7	4	0.5714285714285714	400.8337341670676	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CD3D	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	TRBC2	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	TRAC	7	5	0.7142857142857143	1042.1677088343756	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	ENTPD1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	ITGAE	7	2	0.2857142857142857	160.33349366682702	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	ITGB2	7	1	0.14285714285714285	80.16674683341351	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CD160	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	KLRB1	7	7	1.0	2565.335898669232	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	ITGA1	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	CD9	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	EOMES	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	TBX21	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	MKI67	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	PTN	7	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	ILC3	OGN	7	0	0.0	0.0	1782	1.0	below_min_cells
