dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D9	Blood	Granulocyte	2093	48	47	0.9791666666666666
VT2018	D9	Blood	Myeloid	2093	449	442	0.9844097995545658
VT2018	D9	Blood	Plasma	2093	90	90	1.0
VT2018	D9	Blood	Stromal	2093	1	1	1.0
VT2018	D9	Blood	T	2093	462	458	0.9913419913419913
VT2018	D9	Blood	cDC1	2093	9	9	1.0
VT2018	D9	Blood	dNK2	2093	1	1	1.0
VT2018	D9	Blood	dNKp	2093	1	1	1.0
VT2018	D9	Blood	pbNK_CD56bright	2093	115	114	0.991304347826087
VT2018	D9	Blood	pbNK_CD56dim	2093	303	301	0.9933993399339934
VT2018	D9	Decidua	Endothelial	2093	266	266	1.0
VT2018	D9	Decidua	Epithelial	2093	135	135	1.0
VT2018	D9	Decidua	Granulocyte	2093	26	26	1.0
VT2018	D9	Decidua	ILC3	2093	51	51	1.0
VT2018	D9	Decidua	Myeloid	2093	1091	1091	1.0
VT2018	D9	Decidua	Perivascular	2093	820	820	1.0
VT2018	D9	Decidua	Plasma	2093	60	60	1.0
VT2018	D9	Decidua	Stromal	2093	1108	1108	1.0
VT2018	D9	Decidua	T	2093	192	192	1.0
VT2018	D9	Decidua	Trophoblast	2093	66	66	1.0
VT2018	D9	Decidua	cDC1	2093	42	42	1.0
VT2018	D9	Decidua	dNK1	2093	136	136	1.0
VT2018	D9	Decidua	dNK2	2093	3266	3265	0.9996938150642989
VT2018	D9	Decidua	dNK3	2093	435	435	1.0
VT2018	D9	Decidua	dNKp	2093	204	204	1.0
VT2018	D9	Decidua	pbNK_CD56bright	2093	7	7	1.0
VT2018	D9	Decidua	pbNK_CD56dim	2093	25	25	1.0
VT2018	D9	Placenta	Endothelial	2093	8	8	1.0
VT2018	D9	Placenta	Epithelial	2093	1	1	1.0
VT2018	D9	Placenta	Granulocyte	2093	27	27	1.0
VT2018	D9	Placenta	Hofbauer	2093	148	148	1.0
VT2018	D9	Placenta	ILC3	2093	1	1	1.0
VT2018	D9	Placenta	Myeloid	2093	234	234	1.0
VT2018	D9	Placenta	Plasma	2093	2	2	1.0
VT2018	D9	Placenta	Stromal	2093	123	123	1.0
VT2018	D9	Placenta	Trophoblast	2093	1118	1118	1.0
VT2018	D9	Placenta	dNK1	2093	3	3	1.0
VT2018	D9	Placenta	dNK2	2093	1	1	1.0
VT2018	D10	Decidua	Endothelial	2725	24	24	1.0
VT2018	D10	Decidua	Epithelial	2725	10	10	1.0
VT2018	D10	Decidua	Hofbauer	2725	1	1	1.0
VT2018	D10	Decidua	ILC3	2725	7	7	1.0
VT2018	D10	Decidua	Myeloid	2725	633	588	0.9289099526066351
VT2018	D10	Decidua	Perivascular	2725	68	68	1.0
VT2018	D10	Decidua	Plasma	2725	1	1	1.0
VT2018	D10	Decidua	Stromal	2725	972	972	1.0
VT2018	D10	Decidua	T	2725	17	17	1.0
VT2018	D10	Decidua	Trophoblast	2725	166	166	1.0
VT2018	D10	Decidua	cDC1	2725	35	34	0.9714285714285714
VT2018	D10	Decidua	dNK1	2725	399	385	0.9649122807017544
VT2018	D10	Decidua	dNK2	2725	314	307	0.9777070063694268
VT2018	D10	Decidua	dNK3	2725	37	35	0.9459459459459459
VT2018	D10	Decidua	dNKp	2725	83	83	1.0
VT2018	D10	Decidua	pbNK_CD56dim	2725	2	2	1.0
VT2018	D10	Placenta	Endothelial	2725	37	37	1.0
VT2018	D10	Placenta	Epithelial	2725	9	9	1.0
VT2018	D10	Placenta	Granulocyte	2725	5	5	1.0
VT2018	D10	Placenta	Hofbauer	2725	626	626	1.0
VT2018	D10	Placenta	Myeloid	2725	197	197	1.0
VT2018	D10	Placenta	Plasma	2725	1	1	1.0
VT2018	D10	Placenta	Stromal	2725	496	496	1.0
VT2018	D10	Placenta	Trophoblast	2725	6099	6099	1.0
VT2018	D10	Placenta	cDC1	2725	1	1	1.0
VT2018	D10	Placenta	dNK1	2725	1	1	1.0
VT2018	D10	Placenta	dNK2	2725	1	1	1.0
VT2018	D11	Placenta	Endothelial	2725	2	2	1.0
VT2018	D11	Placenta	Granulocyte	2725	3	3	1.0
VT2018	D11	Placenta	Hofbauer	2725	137	137	1.0
VT2018	D11	Placenta	Myeloid	2725	56	56	1.0
VT2018	D11	Placenta	Stromal	2725	177	177	1.0
VT2018	D11	Placenta	Trophoblast	2725	2127	2127	1.0
VT2018	D12	Decidua	Endothelial	2725	51	50	0.9803921568627451
VT2018	D12	Decidua	Epithelial	2725	18	15	0.8333333333333334
VT2018	D12	Decidua	Granulocyte	2725	8	3	0.375
VT2018	D12	Decidua	ILC3	2725	44	10	0.22727272727272727
VT2018	D12	Decidua	Myeloid	2725	608	175	0.2878289473684211
VT2018	D12	Decidua	Perivascular	2725	20	20	1.0
VT2018	D12	Decidua	Plasma	2725	52	12	0.23076923076923078
VT2018	D12	Decidua	Stromal	2725	1734	1727	0.9959630911188004
VT2018	D12	Decidua	T	2725	158	24	0.1518987341772152
VT2018	D12	Decidua	Trophoblast	2725	12	9	0.75
VT2018	D12	Decidua	cDC1	2725	48	33	0.6875
VT2018	D12	Decidua	dNK1	2725	126	38	0.30158730158730157
VT2018	D12	Decidua	dNK2	2725	373	73	0.19571045576407506
VT2018	D12	Decidua	dNK3	2725	29	12	0.41379310344827586
VT2018	D12	Decidua	dNKp	2725	67	55	0.8208955223880597
VT2018	D12	Decidua	pbNK_CD56bright	2725	2	0	0.0
VT2018	D12	Decidua	pbNK_CD56dim	2725	1	0	0.0
VT2018	D12	Placenta	Endothelial	2725	86	86	1.0
VT2018	D12	Placenta	Epithelial	2725	34	34	1.0
VT2018	D12	Placenta	Granulocyte	2725	2	2	1.0
VT2018	D12	Placenta	Hofbauer	2725	219	219	1.0
VT2018	D12	Placenta	Myeloid	2725	190	190	1.0
VT2018	D12	Placenta	Plasma	2725	2	2	1.0
VT2018	D12	Placenta	Stromal	2725	502	502	1.0
VT2018	D12	Placenta	Trophoblast	2725	1212	1212	1.0
VT2018	D6	Blood	Granulocyte	2725	16	14	0.875
VT2018	D6	Blood	ILC3	2725	1	0	0.0
VT2018	D6	Blood	Myeloid	2725	468	341	0.7286324786324786
VT2018	D6	Blood	Plasma	2725	48	23	0.4791666666666667
VT2018	D6	Blood	T	2725	415	270	0.6506024096385542
VT2018	D6	Blood	cDC1	2725	3	3	1.0
VT2018	D6	Blood	dNK2	2725	1	0	0.0
VT2018	D6	Blood	pbNK_CD56bright	2725	20	7	0.35
VT2018	D6	Blood	pbNK_CD56dim	2725	563	156	0.27708703374777977
VT2018	D6	Decidua	Endothelial	2725	430	416	0.9674418604651163
VT2018	D6	Decidua	Epithelial	2725	72	63	0.875
VT2018	D6	Decidua	Granulocyte	2725	47	26	0.5531914893617021
VT2018	D6	Decidua	Hofbauer	2725	1	1	1.0
VT2018	D6	Decidua	ILC3	2725	37	35	0.9459459459459459
VT2018	D6	Decidua	Myeloid	2725	576	475	0.8246527777777778
VT2018	D6	Decidua	Perivascular	2725	706	701	0.9929178470254958
VT2018	D6	Decidua	Plasma	2725	4	2	0.5
VT2018	D6	Decidua	Stromal	2725	322	311	0.9658385093167702
VT2018	D6	Decidua	T	2725	185	134	0.7243243243243244
