dataset_id	comparison_id	gene	observed_diff_pp	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_expression_matched	empirical_p	empirical_p_resolution_floor	empirical_p_at_resolution_floor	empirical_z	q_bh_empirical	q_bh_empirical_per_comparison
VT2018	A_decidua_dNK2_vs_dNK3	CCL4	0.54299406860171	0.08867067698545612	3.7828479272394997	399	False	0.5025	0.0025	False	0.12010088704459033	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	CCL5	35.51825650271392	0.08867067698545612	3.7828479272394997	399	False	0.0025	0.0025	True	9.365849885375352	0.03375	0.03375
VT2018	A_decidua_dNK2_vs_dNK3	CCL20	0.6005770620424921	0.08867067698545612	3.7828479272394997	399	False	0.475	0.0025	False	0.1353230145391002	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	XCL1	-4.957465887715091	0.08867067698545612	3.7828479272394997	399	False	0.12	0.0025	False	-1.3339517373575525	0.4628571428571428	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	XCL2	-5.163127610329015	0.08867067698545612	3.7828479272394997	399	False	0.1075	0.0025	False	-1.3883186393767948	0.43537499999999996	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	CXCL8	0.1638423263863189	0.08867067698545612	3.7828479272394997	399	False	0.9025	0.0025	False	0.019871707995335313	0.9746999999999999	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	CXCL10	0.056360048171986	0.08867067698545612	3.7828479272394997	399	False	0.965	0.0025	False	-0.008541350177153044	0.99	0.965
VT2018	A_decidua_dNK2_vs_dNK3	CXCL12	-0.058176168694222	0.08867067698545612	3.7828479272394997	399	False	0.7575	0.0025	False	-0.038819124771647465	0.8951086956521739	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	CXCL16	0.4706202828762679	0.08867067698545612	3.7828479272394997	399	False	0.5225	0.0025	False	0.10096879738158974	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	CCL1	-0.0117439812096299	0.08867067698545612	3.7828479272394997	399	False	0.8325	0.0025	False	-0.026544725066006747	0.9365625000000001	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	CCL3L1	5.91945712576983	0.08867067698545612	3.7828479272394997	399	False	0.095	0.0025	False	1.541374795110873	0.405	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	CCL4L2	2.8119638999995926	0.08867067698545612	3.7828479272394997	399	False	0.1825	0.0025	False	0.7199055514244359	0.5549999999999999	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	PPBP	0.0	0.08867067698545612	3.7828479272394997	399	False	0.89	0.0025	False	-0.02344019074807556	0.9741891891891893	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	CCR1	-4.002917415420316	0.08867067698545612	3.7828479272394997	399	False	0.1375	0.0025	False	-1.0816158014027206	0.46406250000000004	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	CCR2	0.0256756192291539	0.08867067698545612	3.7828479272394997	399	False	0.92	0.0025	False	-0.016652812634282213	0.9805263157894738	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	CCR5	0.482494236450964	0.08867067698545612	3.7828479272394997	399	False	0.5175	0.0025	False	0.10410769003682821	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	CCR9	1.041472204669764	0.08867067698545612	3.7828479272394997	399	False	0.3575	0.0025	False	0.25187412923035646	0.7016860465116279	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	CXCR3	-2.461243504672029	0.08867067698545612	3.7828479272394997	399	False	0.185	0.0025	False	-0.6740726116152026	0.5549999999999999	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	CXCR4	52.53370462963136	0.08867067698545612	3.7828479272394997	399	False	0.0025	0.0025	True	13.863902266596586	0.03375	0.03375
VT2018	A_decidua_dNK2_vs_dNK3	CXCR6	2.340804998797796	0.08867067698545612	3.7828479272394997	399	False	0.1975	0.0025	False	0.5953541789494602	0.5713392857142857	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	CX3CR1	0.204728423388382	0.08867067698545612	3.7828479272394997	399	False	0.81	0.0025	False	0.030679992596905164	0.9240845070422535	0.9553846153846154
VT2018	A_decidua_dNK2_vs_dNK3	S1PR1	-0.5047149490845899	0.08867067698545612	3.7828479272394997	399	False	0.45	0.0025	False	-0.1568621412976186	0.7629910714285714	0.7424999999999999
VT2018	A_decidua_dNK2_vs_dNK3	S1PR5	1.533748944997128	0.08867067698545612	3.7828479272394997	399	False	0.2925	0.0025	False	0.3820080256480744	0.6403378378378378	0.658125
VT2018	A_decidua_dNK2_vs_dNK3	SELL	-2.5111215619970424	0.08867067698545612	3.7828479272394997	399	False	0.185	0.0025	False	-0.68725793079387	0.5549999999999999	0.4847727272727273
VT2018	A_decidua_dNK2_vs_dNK3	ACKR2	-0.167499393810372	0.08867067698545612	3.7828479272394997	399	False	0.6225	0.0025	False	-0.06771883927746628	0.800357142857143	0.8403750000000001
VT2018	A_decidua_dNK2_vs_dNK3	XCR1	0.2749262929606439	0.08867067698545612	3.7828479272394997	399	False	0.7	0.0025	False	0.049236876437458645		
VT2018	A_decidua_dNK2_vs_dNK3	PTN	-0.370460289560402	0.08867067698545612	3.7828479272394997	399	False	0.5025	0.0025	False	-0.12137177475196707		
VT2018	A_decidua_dNK2_vs_dNK3	OGN	-0.160809712000294	0.08867067698545612	3.7828479272394997	399	False	0.6225	0.0025	False	-0.06595041455124163		
VT2018	A_decidua_dNK2_vs_dNK3	SPP1	2.398164650559093	0.08867067698545612	3.7828479272394997	399	False	0.195	0.0025	False	0.610517265825954		
VT2018	A_decidua_dNK2_vs_dNK3	VEGFA	0.642014303836564	0.08867067698545612	3.7828479272394997	399	False	0.46	0.0025	False	0.14627699487113813		
VT2018	A_decidua_dNK2_vs_dNK3	PGF	-0.0680484351666	0.08867067698545612	3.7828479272394997	399	False	0.74	0.0025	False	-0.04142886924519341		
VT2018	A_decidua_dNK2_vs_dNK3	IGF2	-1.421475838853968	0.08867067698545612	3.7828479272394997	399	False	0.2875	0.0025	False	-0.39920888835239027		
VT2018	A_decidua_dNK2_vs_dNK3	ITGAD	-22.670883463734647	0.08867067698545612	3.7828479272394997	399	False	0.0025	0.0025	True	-6.016513108241358		
VT2018	A_decidua_dNK2_vs_dNK3	ANGPT2	1.4844849474323358	0.08867067698545612	3.7828479272394997	399	False	0.3	0.0025	False	0.3689850338407505		
VT2018	A_decidua_dNK2_vs_dNK3	ANG	-0.429368903797058	0.08867067698545612	3.7828479272394997	399	False	0.4725	0.0025	False	-0.13694433155830005		
VT2018	A_decidua_dNK2_vs_dNK3	IL10	0.63283030302758	0.08867067698545612	3.7828479272394997	399	False	0.46	0.0025	False	0.14384919418085612		
