gene,p_green,p_red,drop_ratio,null_drop,resid,n_pos_green,resid_pct
Taf3,0.30700778642936594,0.27945723119203025,0.08973894622595935,0.11339130434782613,-0.02365235812186678,1380,0.3601982544984377
Atp5c1,0.7684093437152392,0.7485400206114737,0.02585773229630157,0.051105964099594725,-0.025248231803293154,3454,0.3523327227669432
Kin,0.21134593993325917,0.15802129852284438,0.25230975067348893,0.13642105263157905,0.11588869804190988,950,0.8641310203641849
Itih5,0.07986651835372637,0.10511851597389213,-0.31617751894887214,0.12200557103064079,-0.43818308997951294,359,0.01562331645296843
Sfmbt2,0.07808676307007786,0.04912401236688423,0.3709047419112689,0.12216524216524213,0.24873949974602674,351,0.967352655963797
Prkcq,0.7577308120133481,0.6781174854002061,0.10506808664887651,0.04790369935408097,0.057164387294795546,3406,0.7090830729447258
Pfkfb3,0.25294771968854285,0.18928203366540708,0.25169503841160534,0.11757255936675488,0.13412247904485047,1137,0.8960241353302446
Rbm17,0.396440489432703,0.3371693576090691,0.14950827022852664,0.10962962962962967,0.03987864059889697,1782,0.6442193729124017
Il2ra,0.1793103448275862,0.4582617657162487,-1.5556906164944642,0.07096774193548391,-1.626658358429948,806,0.0004309880400818877
Il15ra,0.08898776418242492,0.09103400893163861,-0.022994675369288883,0.13579999999999995,-0.15879467536928882,400,0.07930179937506734
Fbh1,0.17085650723025583,0.1265888010992786,0.2590928893994046,0.13880208333333346,0.12029080606607115,768,0.8719965520956794
Ankrd16,0.19377085650723025,0.16231535554792167,0.16233349806210337,0.13777267508610797,0.024560822975995406,871,0.5779549617498114
Mindy3,0.2914349276974416,0.20285125386465133,0.3039569571590781,0.11712977099236666,0.18682718616671146,1310,0.9421398556190066
Rsu1,0.4040044493882091,0.2925111645482652,0.2759704379711167,0.10176211453744487,0.17420832343367182,1816,0.9351362999676759
Trdmt1,0.071412680756396,0.05891446238406046,0.1750139924724244,0.14218068535825557,0.03283330711416885,321,0.6109255468160758
Vim,0.5461624026696329,0.4486430779800756,0.17855371261896544,0.05288798370672086,0.1256657289122446,2455,0.8820170240275832
St8sia6,0.23381535038932147,0.1619718309859155,0.30726605111161737,0.0996764985727877,0.20758955253882966,1051,0.9537765327012175
Stam,0.13259176863181313,0.09979388526279628,0.24735987540894416,0.14496644295302,0.10239343245592417,596,0.8422583773300291
Nsun6,0.12480533926585094,0.11885949845413947,0.04764091702075411,0.13540106951871667,-0.08776015249796255,561,0.15925008081025752
Arl5b,0.09365962180200223,0.06561319134318104,0.2994506054926395,0.14717339667458432,0.1522772088180552,421,0.9158495851740114
Nebl,0.15372636262513906,0.05324630711095844,0.6536293046834181,0.08179450072358904,0.571834803959829,691,0.9978450597995906
Mllt10,0.4945494994438265,0.42751631741669527,0.13554392857038003,0.09320737741790373,0.042336551152476296,2223,0.6544553388643465
Dnajc1,0.553281423804227,0.48402610786671246,0.12517195220712812,0.080402090872537,0.04476986133459113,2487,0.664152569766189
Commd3,0.4340378197997775,0.4189282033665407,0.03481175082901053,0.10566888774987174,-0.07085713692086121,1951,0.19512983514707466
Bmi1,0.18843159065628476,0.1887667468223978,-0.0017786622983212855,0.13057851239669416,-0.13235717469501546,847,0.10192867147936645
Pip4k2a,0.6638487208008899,0.5724836825833047,0.13762930522387573,0.0634584450402146,0.07417086018366113,2984,0.7656502532054735
Armc3,0.0849833147942158,0.06715905187220886,0.20973838176550047,0.1370680628272251,0.07267031893827536,382,0.761663613834716
Msrb2,0.08275862068965517,0.08983167296461697,-0.08546604832245508,0.13989247311827957,-0.22535852144073465,372,0.04934813058937614
Otud1,0.06206896551724138,0.053418069391961524,0.13937554868506433,0.14451612903225808,-0.005140580347193752,279,0.4434866932442625
Arhgap21,0.05695216907675195,0.02593610443146685,0.5445984788302989,0.12859375000000006,0.4160047288302988,256,0.9928886973386488
Apbb1ip,0.8240266963292547,0.818275506698729,0.006979372945252003,0.043488120950323915,-0.03650874800507191,3704,0.3048162913479151
Pdss1,0.10923248053392659,0.07214015802129853,0.3395722804363811,0.1268431771894095,0.2127291032469716,491,0.9562547139316884
Abi1,0.5942157953281424,0.543112332531776,0.08600152200287037,0.08543616622987678,0.0005653557729935893,2671,0.46891498760909384
Acbd5,0.2771968854282536,0.23136379251116454,0.1653449058285035,0.11881219903691813,0.046532706791585374,1246,0.6705096433573968
Yme1l1,0.425139043381535,0.3899003778770182,0.08288738955667353,0.105410779696494,-0.022523390139820465,1911,0.3651546169593794
Spopl,0.23159065628476083,0.18928203366540708,0.1826870880633959,0.13068203650336196,0.05200505156003393,1041,0.689257623100959
Psd4,0.4618464961067853,0.4359326691858468,0.056109177268602435,0.10809248554913314,-0.05198330828053071,2076,0.2465251589268398
Ehmt1,0.33014460511679644,0.2588457574716592,0.21596247989547965,0.1202964959568731,0.09566598393860655,1484,0.8265273138670401
Arrdc1,0.3492769744160178,0.3069391961525249,0.12121548617477741,0.1213503184713378,-0.00013483229656038875,1570,0.4663290593686025
Zmynd19,0.12814238042269188,0.09206458261765717,0.281544620023665,0.12381944444444457,0.15772517557922042,576,0.9215601767050964
Dph7,0.15127919911012236,0.1511508072827207,0.0008487077414271011,0.14641176470588238,-0.1455630569644553,680,0.09007650037711454
Mrpl41,0.3076751946607342,0.2739608381999313,0.10957775292213233,0.12332610267534343,-0.013748349753211098,1383,0.40534425169701543
Pnpla7,0.19621802002224695,0.18945379594641018,0.03447300138422479,0.1276643990929706,-0.0931913977087458,882,0.1508458140286607
Nsmf,0.11345939933259176,0.09498454139470972,0.16283232633486236,0.14015686274509806,0.0226754635897643,510,0.5677189957978666
Tor4a,0.3441601779755284,0.3546891102713844,-0.03059311614083562,0.11886231415643188,-0.1494554302972675,1547,0.0859821139963366
Nelfb,0.35773081201334817,0.3236001374098248,0.09540881986494873,0.12012437810945278,-0.024715558244504054,1608,0.3542721689473117
Tubb4b,0.40200222469410457,0.40793541738234285,-0.014759104113796927,0.09666851134477057,-0.1114276154585675,1807,0.12369356750350177
Ndor1,0.1557285873192436,0.1387839230504981,0.10880895126858715,0.14279999999999984,-0.03399104873141269,700,0.31429802822971664
Tmem203,0.13236929922135707,0.10116798351082103,0.23571414137623445,0.13727731092436984,0.0984368304518646,595,0.8337463635384118
Tprn,0.09454949944382647,0.07815183785640674,0.17342938549518047,0.13910588235294108,0.03432350314223939,425,0.6179291024674065
Ssna1,0.36907675194660733,0.33510821023703197,0.09203652500575121,0.11329716696805281,-0.021260641962301596,1659,0.3718349315806486
Anapc2,0.2805339265850946,0.2363448986602542,0.15751758962899082,0.1293259318001587,0.028191657828832123,1261,0.5927163021226161
Man1b1,0.17330367074527253,0.14805908622466507,0.14566676177166948,0.140847240051348,0.00481952172032149,779,0.48820170240275834
Dpp7,0.06340378197997776,0.058055650979045005,0.08435034683927271,0.14428070175438595,-0.05993035491511324,285,0.22400603383256115
Uap1l1,0.14126807563959956,0.11233253177602198,0.2048271963256397,0.137511811023622,0.0673153853020177,635,0.7431311281111949
Abca2,0.19733036707452725,0.1827550669872896,0.0738624282887635,0.13086809470123992,-0.057005666412476425,887,0.23241030061415796
Paxx,0.26095661846496104,0.2306767433871522,0.11603413339705952,0.13561807331628287,-0.019583939919223345,1173,0.3795927163021226
Fbxw5,0.23337041156840935,0.1968395740295431,0.15653585770944112,0.13693040991420388,0.019605447795237235,1049,0.5536041374851848
Traf2,0.2796440489432703,0.2588457574716592,0.0743741608312583,0.1300556881463803,-0.05568152731512199,1257,0.23661243400495635
Edf1,0.6863181312569522,0.6968395740295431,-0.015330270749690832,0.06515397082658024,-0.08048424157627107,3085,0.17325719211291887
Phpt1,0.10545050055617353,0.09824802473376847,0.06830195953947416,0.14827004219409312,-0.07996808265461897,474,0.17422691520310313
Rabl6,0.27853170189098997,0.23102026794915836,0.17057819134866858,0.11738019169329063,0.053197999655377956,1252,0.6942139855619006
Bmyc,0.2916573971078977,0.4141188594984541,-0.4198812154428308,0.11639969488939746,-0.5362809103322282,1311,0.010882448012067666
Camsap1,0.11457174638487208,0.08656818962555823,0.24441939346236066,0.14050485436893215,0.10391453909342852,515,0.8450597995905613
Ubac1,0.192880978865406,0.13019580900034353,0.32499404676292487,0.1313494809688582,0.19364456579406666,867,0.9460187479797436
Tmem250-ps,0.07185761957730812,0.054276880796976984,0.2446607455652893,0.1479876160990713,0.096673129466218,323,0.8286822540674497
Qsox2,0.05094549499443826,0.05101339745791824,-0.0013328452984388743,0.15318777292576422,-0.1545206182242031,229,0.08199547462557914
Dnlz,0.17486095661846496,0.15166609412572998,0.13264746425552634,0.1355216284987277,-0.0028741642432013603,786,0.4514599719857774
Snapc4,0.10122358175750834,0.08570937822054277,0.1532666920849676,0.14259340659340655,0.010673285491561046,455,0.5133067557375283
Entr1,0.3067853170189099,0.26640329783579525,0.13162956941849185,0.12751269035532992,0.004116879063161938,1379,0.4855080271522465
Pmpca,0.22981090100111234,0.19271727928546892,0.16140932198627028,0.1284801548886737,0.03292916709759658,1033,0.6113565348561577
