gene,axis,lineage,detected,frac_ge_floor,detection_rate,mean_CPM,soup_frac
CCR7,receptor_homing,CD4T,True,0.9827586206896551,1.0,120.90948540367062,0.01808356201252047
CCR8,receptor_homing,CD4T,False,0.1206896551724138,0.6724137931034483,1.3981709027477214,0.015334215904001426
CCR9,receptor_homing,CD4T,False,0.0,0.3793103448275862,0.20952926148528525,0.03600140229823661
CCR10,receptor_homing,CD4T,False,0.15517241379310345,0.8103448275862069,1.5029129651902235,0.1549572907203657
CXCR4,receptor_homing,CD4T,True,1.0,1.0,3086.750729809249,0.02622763804235549
CXCR5,receptor_homing,CD4T,False,0.29310344827586204,0.8103448275862069,2.870048151048222,0.06529821048618044
XCR1,receptor_homing,CD4T,False,0.0,0.20689655172413793,0.278217205258772,0.3155408411629565
ACKR1,receptor_atypical,CD4T,False,0.15517241379310345,0.4482758620689655,13.396182937207993,0.26198977231713017
ACKR2,receptor_atypical,CD4T,False,0.0,0.29310344827586204,0.17041029251173376,0.11757107882272567
ACKR3,receptor_atypical,CD4T,False,0.05172413793103448,0.3448275862068966,0.3904736651780928,0.4930240466561126
ACKR4,receptor_atypical,CD4T,False,0.034482758620689655,0.5517241379310345,0.41766384008828344,0.15358776028250987
CCRL2,receptor_atypical,CD4T,True,0.603448275862069,0.9655172413793104,5.768293226563382,0.398019623003705
S1PR1,retention_egress,CD4T,True,0.7931034482758621,0.9827586206896551,11.378198994256563,0.04516446053343072
S1PR5,retention_egress,CD4T,False,0.29310344827586204,0.7413793103448276,4.418990966826538,0.18724774131194785
SELL,retention_egress,CD4T,True,0.9827586206896551,1.0,126.51183587993133,0.02396153468108601
SELPLG,retention_egress,CD4T,True,1.0,1.0,67.76116514513406,0.04415406970554395
CD69,retention_egress,CD4T,True,1.0,1.0,1639.8063725967625,0.026063917946628257
ITGAE,retention_egress,CD4T,True,1.0,1.0,69.4214399701102,0.04829842113387173
ITGA1,retention_egress,CD4T,True,0.9137931034482759,1.0,26.74397491929334,0.028710866952439105
KLRG1,retention_egress,CD4T,True,1.0,1.0,52.901822062033716,0.0337982473843719
CCL3,ligand_lymphoid,CD4T,True,0.9310344827586207,1.0,119.5218554440749,0.4394322859651863
CCL3L3,ligand_lymphoid,CD4T,True,0.7241379310344828,0.9655172413793104,30.17187644735945,0.3658005667706965
CCL4,ligand_lymphoid,CD4T,True,1.0,1.0,1034.4188200319043,0.09064998637738926
CCL4L2,ligand_lymphoid,CD4T,True,0.9482758620689655,1.0,117.08632448688574,0.18722552452464472
CCL5,ligand_lymphoid,CD4T,True,1.0,1.0,1079.976579263343,0.0362293078669744
XCL1,ligand_lymphoid,CD4T,True,1.0,1.0,79.72784800150173,0.02304959462079658
XCL2,ligand_lymphoid,CD4T,True,0.896551724137931,1.0,45.19501013399393,0.03620529934726178
CCL2,ligand_myeloid_stromal,CD4T,True,0.603448275862069,0.8620689655172413,16.136995306221788,0.4726181742247439
CCL7,ligand_myeloid_stromal,CD4T,False,0.034482758620689655,0.3448275862068966,0.5169322666486695,0.5868115968491131
CCL8,ligand_myeloid_stromal,CD4T,False,0.10344827586206896,0.39655172413793105,1.0765936352511398,0.4126197149867273
CCL13,ligand_myeloid_stromal,CD4T,False,0.22413793103448276,0.603448275862069,1.9263605527608718,0.7528619370577587
CCL14,ligand_myeloid_stromal,CD4T,False,0.05172413793103448,0.1724137931034483,0.38801578103090795,0.24301386819366388
CCL15,ligand_myeloid_stromal,CD4T,False,0.0,0.15517241379310345,0.0877149689767088,0.6474031262212794
CCL17,ligand_myeloid_stromal,CD4T,False,0.41379310344827586,0.7758620689655172,14.24652252915799,0.2897314420125224
CCL18,ligand_myeloid_stromal,CD4T,True,0.7586206896551724,0.8793103448275862,91.22831118747854,0.8874021776292975
CCL19,ligand_myeloid_stromal,CD4T,False,0.1206896551724138,0.39655172413793105,1.8454282230767323,0.156071324140151
CCL20,ligand_myeloid_stromal,CD4T,True,0.9482758620689655,1.0,67.26464712962056,0.2431088339581579
CCL21,ligand_myeloid_stromal,CD4T,False,0.08620689655172414,0.27586206896551724,0.8608995180398803,0.6033482766248985
CCL22,ligand_myeloid_stromal,CD4T,False,0.1896551724137931,0.7413793103448276,2.90249759784984,0.13749378575423524
CCL23,ligand_myeloid_stromal,CD4T,False,0.22413793103448276,0.7413793103448276,3.086063180885782,0.4493479737646458
CCL24,ligand_myeloid_stromal,CD4T,False,0.0,0.034482758620689655,0.018746433184036154,0.47459641887287946
CCL28,ligand_myeloid_stromal,CD4T,True,0.6206896551724138,1.0,6.346223946528863,0.05154676053412334
CXCL1,ligand_myeloid_stromal,CD4T,False,0.3103448275862069,0.8275862068965517,8.228312379806075,0.5905326982312238
CXCL2,ligand_myeloid_stromal,CD4T,True,0.896551724137931,1.0,45.91503304084819,0.6419432758077595
CXCL3,ligand_myeloid_stromal,CD4T,True,0.8275862068965517,0.9310344827586207,44.68073215428065,0.8706533483404504
CXCL5,ligand_myeloid_stromal,CD4T,False,0.15517241379310345,0.5862068965517241,1.5141437991499551,0.9284572812552833
CXCL6,ligand_myeloid_stromal,CD4T,False,0.05172413793103448,0.22413793103448276,1.9727608439859112,0.4007375006635453
CXCL8,ligand_myeloid_stromal,CD4T,True,0.8620689655172413,0.9827586206896551,65.0782929829816,0.7837491756285923
CXCL9,ligand_myeloid_stromal,CD4T,False,0.15517241379310345,0.7241379310344828,4.3954597008162155,0.5092226879566736
CXCL10,ligand_myeloid_stromal,CD4T,False,0.4482758620689655,0.7758620689655172,7.7354989183151535,0.7624104468069781
CXCL11,ligand_myeloid_stromal,CD4T,False,0.08620689655172414,0.46551724137931033,0.9710690536707781,0.6303209614771978
CXCL12,ligand_myeloid_stromal,CD4T,False,0.10344827586206896,0.4827586206896552,0.8501235828758855,0.342422448132454
CXCL13,ligand_myeloid_stromal,CD4T,True,0.5862068965517241,0.7586206896551724,180.41710675550968,0.02315864659490908
CXCL14,ligand_myeloid_stromal,CD4T,True,0.8275862068965517,0.9827586206896551,12.224964125020708,0.22303789317275258
CXCL16,ligand_myeloid_stromal,CD4T,True,0.7586206896551724,0.9827586206896551,15.217769610364629,0.5845978221129611
CXCL17,ligand_myeloid_stromal,CD4T,False,0.43103448275862066,0.7068965517241379,6.292327777749292,0.6145870951037197
CX3CL1,ligand_myeloid_stromal,CD4T,False,0.06896551724137931,0.7758620689655172,1.3859114275930704,0.23157209296935094
KLRD1,control_positive,CD4T,True,0.7758620689655172,0.9827586206896551,29.42698616285248,0.23599692163361816
NKG7,control_positive,CD4T,True,0.9655172413793104,1.0,181.90812105678512,0.13673372531438793
GNLY,control_positive,CD4T,True,0.9137931034482759,1.0,199.93862402082564,0.19667314480208878
C1QA,control_negative,CD4T,True,0.8448275862068966,0.9827586206896551,127.20691852138616,0.8309140925781338
LYZ,control_negative,CD4T,True,0.9137931034482759,1.0,204.43666650662644,1.0
IGKC,control_negative,CD4T,True,0.9310344827586207,1.0,3091.263328880418,0.44117589361569914
CCR1,receptor_inflammatory,B,True,0.5517241379310345,0.9310344827586207,4.972076263022541,1.0
CCR2,receptor_inflammatory,B,False,0.43103448275862066,0.9655172413793104,4.805544629378505,0.1959242725197002
CCR3,receptor_inflammatory,B,False,0.017241379310344827,0.3793103448275862,0.1713520603433643,0.21084766294625104
CCR5,receptor_inflammatory,B,False,0.4482758620689655,0.9310344827586207,3.51385620483389,0.9181553169762441
CXCR1,receptor_inflammatory,B,False,0.0,0.25862068965517243,0.24191650390687774,1.0
CXCR2,receptor_inflammatory,B,False,0.034482758620689655,0.6206896551724138,0.6236957753272121,1.0
CXCR3,receptor_inflammatory,B,True,0.9137931034482759,1.0,24.83574722821685,0.3089819417055844
CXCR6,receptor_inflammatory,B,True,0.6896551724137931,0.9827586206896551,11.806076425327554,1.0
CX3CR1,receptor_inflammatory,B,False,0.27586206896551724,0.7068965517241379,3.8649895382088317,0.9423354251704552
CCR4,receptor_homing,B,False,0.2413793103448276,0.896551724137931,2.014404585002935,0.5519715635478494
CCR6,receptor_homing,B,True,0.9137931034482759,1.0,23.035227827988972,0.23833233669170162
CCR7,receptor_homing,B,True,0.9482758620689655,1.0,58.424470863654186,0.17851796506675252
CCR8,receptor_homing,B,False,0.017241379310344827,0.29310344827586204,0.20048886464591095,0.563266530577877
CCR9,receptor_homing,B,False,0.0,0.29310344827586204,0.1281785238685821,0.27620315980510435
CCR10,receptor_homing,B,True,0.6724137931034483,0.896551724137931,12.818896255325937,0.03899818413795768
CXCR4,receptor_homing,B,True,1.0,1.0,1235.414302520133,0.29597676692259267
CXCR5,receptor_homing,B,True,0.6379310344827587,0.9827586206896551,12.781065256495328,0.07385177219700187
XCR1,receptor_homing,B,False,0.1724137931034483,0.5,0.570330559611072,0.17495053999194157
ACKR1,receptor_atypical,B,True,0.5862068965517241,0.6896551724137931,119.27326289061577,0.14628970646112854
ACKR2,receptor_atypical,B,False,0.017241379310344827,0.5344827586206896,0.3622889392574452,0.1797813896748055
ACKR3,receptor_atypical,B,False,0.22413793103448276,0.7586206896551724,2.1008099840472876,0.7566835717800637
ACKR4,receptor_atypical,B,False,0.25862068965517243,0.8275862068965517,2.385733754308155,0.18223075962737073
CCRL2,receptor_atypical,B,True,0.7758620689655172,0.9655172413793104,8.941919035651647,1.0
S1PR1,retention_egress,B,True,0.6551724137931034,0.9655172413793104,13.843263524579468,0.1783295766308851
S1PR5,retention_egress,B,False,0.25862068965517243,0.7241379310344828,3.9568782015897472,1.0
SELL,retention_egress,B,True,0.9655172413793104,1.0,75.67940415542692,0.1746194816251702
SELPLG,retention_egress,B,True,0.8793103448275862,1.0,27.364862504268082,0.3379560642870702
CD69,retention_egress,B,True,1.0,1.0,723.4161027150973,0.31887386108810484
ITGAE,retention_egress,B,True,0.9655172413793104,1.0,40.93453752139579,0.27540722343140117
ITGA1,retention_egress,B,True,0.6896551724137931,0.9827586206896551,15.29156333732272,0.2751501039038645
KLRG1,retention_egress,B,True,0.896551724137931,1.0,17.257596582212013,0.6234959261832597
CCL3,ligand_lymphoid,B,True,0.9482758620689655,0.9827586206896551,169.75769763183507,1.0
CCL3L3,ligand_lymphoid,B,True,0.8448275862068966,0.9827586206896551,28.265247328070483,1.0
CCL4,ligand_lymphoid,B,True,0.9827586206896551,1.0,400.06084560715146,1.0
CCL4L2,ligand_lymphoid,B,True,0.896551724137931,0.9655172413793104,73.85977353338363,1.0
CCL5,ligand_lymphoid,B,True,0.9827586206896551,1.0,219.17757992438655,1.0
XCL1,ligand_lymphoid,B,True,0.7931034482758621,1.0,15.561602802000438,0.9552023939684543
XCL2,ligand_lymphoid,B,True,0.7586206896551724,0.9310344827586207,13.429022324402235,0.9455147555797956
CCL2,ligand_myeloid_stromal,B,True,0.7931034482758621,0.9137931034482759,129.93338546471057,0.29867877326187087
CCL7,ligand_myeloid_stromal,B,False,0.05172413793103448,0.46551724137931033,0.4711015826238986,1.0
CCL8,ligand_myeloid_stromal,B,False,0.2413793103448276,0.6379310344827587,1.6508001922344646,1.0
CCL13,ligand_myeloid_stromal,B,False,0.25862068965517243,0.6896551724137931,4.296947381368108,1.0
CCL14,ligand_myeloid_stromal,B,False,0.3275862068965517,0.6379310344827587,5.698626561868765,0.10454143375865124
CCL15,ligand_myeloid_stromal,B,False,0.13793103448275862,0.41379310344827586,1.2206900953596942,0.401672158567495
CCL17,ligand_myeloid_stromal,B,True,0.5517241379310345,0.896551724137931,22.27722424098453,0.7557915929200625
CCL18,ligand_myeloid_stromal,B,True,0.7931034482758621,0.8793103448275862,114.64504174323828,1.0
CCL19,ligand_myeloid_stromal,B,False,0.3275862068965517,0.6724137931034483,4.137357918851491,0.3806804903277393
CCL20,ligand_myeloid_stromal,B,True,0.8448275862068966,0.9655172413793104,49.819896313410034,1.0
CCL21,ligand_myeloid_stromal,B,False,0.3103448275862069,0.5517241379310345,42.81338370182792,0.12238035428815221
CCL22,ligand_myeloid_stromal,B,True,0.5,0.8275862068965517,6.110220143147593,0.32276481409159596
CCL23,ligand_myeloid_stromal,B,True,0.5172413793103449,0.8448275862068966,9.669086237068084,0.9758504351811051
CCL24,ligand_myeloid_stromal,B,False,0.0,0.05172413793103448,0.0056730289949254355,1.0
CCL28,ligand_myeloid_stromal,B,True,0.5172413793103449,0.9655172413793104,4.531330346148081,0.3291021672288827
CXCL1,ligand_myeloid_stromal,B,True,0.6724137931034483,0.9310344827586207,49.036395379309525,0.3436260016046269
CXCL2,ligand_myeloid_stromal,B,True,0.9310344827586207,0.9827586206896551,310.3674889074262,0.46195320454560446
CXCL3,ligand_myeloid_stromal,B,True,0.9137931034482759,0.9482758620689655,103.64655405405908,1.0
CXCL5,ligand_myeloid_stromal,B,False,0.29310344827586204,0.6379310344827587,4.051470554372631,1.0
CXCL6,ligand_myeloid_stromal,B,False,0.2413793103448276,0.603448275862069,3.2909093721501197,0.4245119638464553
CXCL8,ligand_myeloid_stromal,B,True,0.9137931034482759,0.9482758620689655,180.40594010968175,1.0
CXCL9,ligand_myeloid_stromal,B,False,0.4482758620689655,0.7586206896551724,8.503907953844399,1.0
CXCL10,ligand_myeloid_stromal,B,True,0.6379310344827587,0.8448275862068966,21.634768195725933,1.0
